"Title","Artist","ISRC","Label","Streams","Streams change"
"Chega De Saudade - Ultimate Mix","João Gilberto","QZK6M2238336","Ipanema","1063332","124.64"
"Brigas, Nunca Mais - Ultimate Mix","João Gilberto","QZK6M2238338","Ipanema","211704","48.95"
"Eu Quero um Samba","João Gilberto","QZNWY2115915","Polydor","100898","-11.51"
"É preciso Perdoar","João Gilberto","QZNWY2115918","Polydor","79723","0.15"
"Águas de Março","João Gilberto","QZNWY2115910","Polydor","78970","-20.8"
"Falsa Baiana","João Gilberto","QZNWY2115914","Polydor","74164","-28.74"
"Undiú","João Gilberto","QZNWY2115911","Polydor","72592","-11.03"
"Izaura","João Gilberto","QZNWY2115919","Polydor","54659","-24.22"
"É Luxo Só - Ultimate Mix","João Gilberto","QZK6M2238347","Ipanema","48449","106.99"
"Eu Vim da Bahia","João Gilberto","QZNWY2115916","Polydor","39595","-11.65"
"Desafinado - Ultimate Mix","João Gilberto","QZK6M2238342","Ipanema","25274","68.1"
"Avarandado","João Gilberto","QZNWY2115913","Polydor","23294","-6.73"
"Hô-bá-lá-lá - Ultimate Mix","João Gilberto","QZK6M2238339","Ipanema","20798","66.08"
"Na Baixa do Sapateiro","João Gilberto","QZNWY2115912","Polydor","19581","-13.4"
"Valsa (Como São Lindos os Youguis)","João Gilberto","QZNWY2115917","Polydor","18918","-18.47"
"O Pato - Remastered","João Gilberto","QZNWY2149291","Ipanema","18835","9270.65"
"Rosa Morena - Ultimate Mix","João Gilberto","QZK6M2238343","Ipanema","15383","62.99"
"Lobo Bobo - Ultimate Mix","João Gilberto","QZK6M2238337","Ipanema","9414","105.14"
"Bim Bom - Ultimate Mix","João Gilberto","QZK6M2238345","Ipanema","8662","49.78"
"Saudade Fez um Samba - Ultimate Mix","João Gilberto","QZK6M2238340","Ipanema","8586","115.24"
"Maria Ninguém - Ultimate Mix","João Gilberto","QZK6M2238341","Ipanema","7263","87.67"
"Morena Boca De Ouro - Ultimate Mix","João Gilberto","QZK6M2238344","Ipanema","7212","118.68"
"Aos Pés Aa Cruz - Ultimate Mix","João Gilberto","QZK6M2238346","Ipanema","6807","97.36"
"Menino do Rio - Ao Vivo","João Gilberto","QZTL92370001","Ipanema","3325","-11.9"
"De Conversa em Conversa - Ao Vivo","João Gilberto","QZTL92370344","Ipanema","2568","-19.25"
"Eu Vim da Bahia - Ao Vivo","João Gilberto","QZTL92305655","Ipanema","2396","-2.72"
"Pra Que Discutir com Madame - Ao Vivo","João Gilberto","QZTL92367931","Ipanema","2128","5.98"
"Una Mujer - Ao Vivo","João Gilberto","QZTL92357563","Ipanema","2057","-10.72"
"Eclipse - Ao Vivo","João Gilberto","QZTL92319675","Ipanema","1753","-8.17"
"Farolito - Ao Vivo","João Gilberto","QZTL92383135","Ipanema","1738","-18.02"
"Isso é o que é - Ao Vivo","João Gilberto","QZTL92310477","Ipanema","1670","-12.61"
"Rosa Morena - Ao Vivo","João Gilberto","QZTL92311278","Ipanema","1539","-10.37"
"Meditação - Remastered","João Gilberto","QZNWY2149290","Ipanema","543","95.32"
"Chega de Saudade - Live","João Gilberto featuring Bebel Gilberto","QZNWZ2143504","Ipanema","524","-9.19"
"Aquarela do Brasil - Live","João Gilberto","QZNWZ2143510","Ipanema","452","-10.67"
"Eu e a Brisa - Live","João Gilberto","QZNWZ2143507","Ipanema","422","6.3"
"Desafinado - Live","João Gilberto","QZNWZ2143505","Ipanema","384","-40.19"
"Jou Jou e Balangandans - Live","João Gilberto featuring Rita Lee","QZNWZ2143508","Ipanema","380","-32.14"
"Menino do Rio - Live","João Gilberto","QZNWZ2143501","Ipanema","346","-17.62"
"Outra Vez - Remastered","João Gilberto","QZNWY2149295","Ipanema","331","-20.43"
"Curare - Live","João Gilberto","QZNWZ2143502","Ipanema","284","-18.86"
"O Pato - Live","João Gilberto","QZNWZ2143506","Ipanema","267","-32.41"
"Retrato em Branco e Preto - Live","João Gilberto","QZNWZ2143503","Ipanema","242","-22.93"
"Canta brasil - Live","João Gilberto","QZNWZ2143509","Ipanema","230","-23.59"
"Estate - Live","João Gilberto","QZNWZ2143513","Ipanema","210","-33.33"
"Tim Tim Por Tim Tim - Live","João Gilberto","QZNWZ2143512","Ipanema","193","-22.8"
"Bahia com H - Live","João Gilberto","QZNWZ2143511","Ipanema","176","-29.32"
"Discussão - Remastered","João Gilberto","QZNWY2149293","Ipanema","161","-32.35"
"Corcovado - Remastered","João Gilberto","QZNWY2149292","Ipanema","154","-34.19"
"Só Em Teus Braços - Remastered","João Gilberto","QZNWY2149286","Ipanema","137","-31.16"
"Doralice - Remastered","João Gilberto","QZNWY2149285","Ipanema","130","-29.73"
"Amor Certinho - Remastered","João Gilberto","QZNWY2149294","Ipanema","129","-30.65"
"Se e Tarde Me Perdoa - Remastered","João Gilberto","QZNWY2149288","Ipanema","96","-31.43"
"Samba de uma Nota Só - Remastered","João Gilberto","QZNWY2149284","Ipanema","95","-44.12"
"Trevo de Quatro Folhas - Remastered","João Gilberto","QZNWY2149287","Ipanema","91","-50.54"
"Um Abraco No Bonfá - Remastered","João Gilberto","QZNWY2149289","Ipanema","75","-44.85"