"Label","Streams","Streams change"
"BRD Records","3947196","-29.04"
"Enfim Produções","3763714","38.61"
"Polydor","1911479","53.11"
"Ipanema","1740235","195.19"
"Televisa","1715159","0"
"King Records JP","1238605","34.38"
"SINC","1090654","0"
"Marvelous Inc.","901062","11.25"
"RFL Music Group","763274","0"
"SINC Music Group","347359","0"
"Cultura","125497","0"
"Marky Music","2999","-99.82"
"SMB","975","-61.91"
"Nippon Columbia Co., Ltd.","316","-100"
"Nippon","238","-99.95"
"Hub Records","22","-100"
"The Secret Label","22","0"
"Nippon under license to AnimeFriends","1","-96.55"
"Lofi Records","1","-100"